uuid,title,slide_url,paper_url
e0da6908-2c23-4bd2-8192-f0939b4e7784,Self-Supervised Multi-Object Tracking with Cross-input Consistency,nips.cc/media/neurips-2021/Slides/28338.pdf,openreview.net/pdf?id=Vc2SXubOUuf
62d69b99-bebe-47cd-b266-3b51aa7b2592,UniDoc: Unified Pretraining Framework for Document Understanding,nips.cc/media/neurips-2021/Slides/28496.pdf,openreview.net/pdf?id=UMcd6l1msUK
ff166085-fe17-4332-a151-b8390a193733,CSDI: Conditional Score-based Diffusion Models for Probabilistic Time Series Imputation,nips.cc/media/neurips-2021/Slides/26846.pdf,openreview.net/pdf?id=VzuIzbRDrum
9ca06cee-e732-45b8-82e7-cee1a227ca02,Predicting Event Memorability from Contextual Visual Semantics,nips.cc/media/neurips-2021/Slides/27731.pdf,openreview.net/pdf?id=luWTh5Q63e
c9e02a2a-f887-4921-9622-3343eb325ed0,Weighted model estimation for offline model-based reinforcement learning,nips.cc/media/neurips-2021/Slides/26612_tPSdCkT.pdf,openreview.net/pdf?id=zdC5eXljMPy
6b4c97f5-f7b0-4d97-b2f8-64c19afd8dd0,Do Transformers Really Perform Badly for Graph Representation?,nips.cc/media/neurips-2021/Slides/27679_XmkCZkZ.pdf,openreview.net/pdf?id=OeWooOxFwDa
7d51f9a1-bc05-4c04-a402-7489e11e4626,Transfer Learning of Graph Neural Networks with Ego-graph Information Maximization,nips.cc/media/neurips-2021/Slides/26736.pdf,openreview.net/pdf?id=CzVPfeqPOBu
5779eff3-f681-4c5c-8e67-a5ea896aef2a,Exponential Graph is Provably Efficient for Decentralized Deep Training,nips.cc/media/neurips-2021/Slides/27137.pdf,openreview.net/pdf?id=l2UWXn5iBQI
b48801d7-610c-4fd8-b9ed-485ab6276b65,Shift-Robust GNNs: Overcoming the Limitations of Localized Graph Training data,nips.cc/media/neurips-2021/Slides/26721.pdf,openreview.net/pdf?id=uY-XMIbyXec
4d11fee4-c3ce-41db-a548-5ed458476061,Understanding the Effect of Stochasticity in Policy Optimization,nips.cc/media/neurips-2021/Slides/26273.pdf,openreview.net/pdf?id=oAog3W9w6R
3392329b-679d-4e37-a738-cfbfec7e99ce,Improved Transformer for High-Resolution GANs,nips.cc/media/neurips-2021/Slides/26771.pdf,openreview.net/pdf?id=zmbiQmdtg9
7fba50c0-2df1-43cc-b54e-25f12d0f70a3,Imitating Deep Learning Dynamics via  Locally Elastic Stochastic Differential Equations,nips.cc/media/neurips-2021/Slides/27047.pdf,openreview.net/pdf?id=zEuLFJCRk4X
979d29df-b964-4755-a917-1b31d435e373,Deceive D: Adaptive Pseudo Augmentation for GAN Training with Limited Data,nips.cc/media/neurips-2021/Slides/27384.pdf,openreview.net/pdf?id=spjlJ4jeM_
d09a01a7-6298-4e9e-a9ea-7b90bc626a03,Self-Diagnosing GAN: Diagnosing Underrepresented Samples in Generative Adversarial Networks,nips.cc/media/neurips-2021/Slides/28142.pdf,openreview.net/pdf?id=SGZn06ZXcG
b6d3c644-407a-43c7-8ceb-bbaa8635a67a,On Pathologies in KL-Regularized Reinforcement Learning from Expert Demonstrations,nips.cc/media/neurips-2021/Slides/26404.pdf,openreview.net/pdf?id=sS8rRmgAatA
