,titles,slides,papers
147,Reward Identification in Inverse Reinforcement Learning,icml.cc/media/icml-2021/Slides/10341.pdf,proceedings.mlr.press/v139/kim21c/kim21c.pdf
148,An exact solver for the Weston-Watkins SVM subproblem,icml.cc/media/icml-2021/Slides/10195.pdf,proceedings.mlr.press/v139/wang21u/wang21u.pdf
149,The Hintons in your Neural Network: a Quantum Field Theory View of Deep Learning,icml.cc/media/icml-2021/Slides/10761.pdf,proceedings.mlr.press/v139/bondesan21a/bondesan21a.pdf
150,Distribution-Free Calibration Guarantees for Histogram Binning without Sample Splitting,icml.cc/media/icml-2021/Slides/10205.pdf,proceedings.mlr.press/v139/gupta21b/gupta21b.pdf
151,Conditional Distributional Treatment Effect with Kernel Conditional Mean Embeddings and U-Statistic Regression,icml.cc/media/icml-2021/Slides/8681.pdf,proceedings.mlr.press/v139/park21c/park21c.pdf
152,Instance-Optimal Compressed Sensing via Posterior Sampling,icml.cc/media/icml-2021/Slides/8875.pdf,proceedings.mlr.press/v139/jalal21a/jalal21a.pdf
153,MARINA: Faster Non-Convex Distributed Learning with Compression,icml.cc/media/icml-2021/Slides/9657.pdf,proceedings.mlr.press/v139/gorbunov21a/gorbunov21a.pdf
154,Towards Open Ad Hoc Teamwork Using Graph-based Policy Learning,icml.cc/media/icml-2021/Slides/10713.pdf,proceedings.mlr.press/v139/rahman21a/rahman21a.pdf
155,Joint Online Learning and Decision-making via Dual Mirror Descent,icml.cc/media/icml-2021/Slides/9831.pdf,proceedings.mlr.press/v139/lobos21a/lobos21a.pdf
156,A Regret Minimization Approach to Iterative Learning Control,icml.cc/media/icml-2021/Slides/9817.pdf,proceedings.mlr.press/v139/agarwal21b/agarwal21b.pdf
157,Generalization Bounds in the Presence of Outliers: a Median-of-Means Study,icml.cc/media/icml-2021/Slides/8843.pdf,proceedings.mlr.press/v139/laforgue21a/laforgue21a.pdf
158,Risk Bounds and Rademacher Complexity in Batch Reinforcement Learning,icml.cc/media/icml-2021/Slides/10623.pdf,proceedings.mlr.press/v139/duan21a/duan21a.pdf
159,Decoupling Exploration and Exploitation for Meta-Reinforcement Learning without Sacrifices,icml.cc/media/icml-2021/Slides/8991.pdf,proceedings.mlr.press/v139/liu21s/liu21s.pdf
160,Megaverse: Simulating Embodied Agents at One Million Experiences per Second,icml.cc/media/icml-2021/Slides/10247.pdf,proceedings.mlr.press/v139/petrenko21a/petrenko21a.pdf
161,ARMS: Antithetic-REINFORCE-Multi-Sample Gradient for Binary Variables,icml.cc/media/icml-2021/Slides/9775.pdf,proceedings.mlr.press/v139/dimitriev21a/dimitriev21a.pdf
162,Dynamic Game Theoretic Neural Optimizer,icml.cc/media/icml-2021/Slides/10261.pdf,proceedings.mlr.press/v139/liu21d/liu21d.pdf
